Date,BECI
2018/4/20,61.88163088
2018/4/21,62.05703793
2018/4/22,62.23500903
2018/4/23,62.53992467
2018/4/24,62.73183805
2018/4/25,62.91806015
2018/4/26,63.10323636
2018/4/27,63.29558608
2018/4/28,63.48721024
2018/4/29,63.80469827
2018/4/30,63.99234199
2018/5/01,64.17224948
2018/5/02,64.35515692
2018/5/03,64.54465865
2018/5/04,64.73979869
2018/5/05,64.93872257
2018/5/06,65.26042551
2018/5/07,65.44964701
2018/5/08,65.63444961
2018/5/09,65.81848539
2018/5/10,66.00318806
2018/5/11,66.17383574
2018/5/12,66.46633221
2018/5/13,66.6376244
2018/5/14,66.80724637
2018/5/15,66.97578817
2018/5/16,67.13791298
2018/5/17,67.29751406
2018/5/18,67.58386406
2018/5/19,67.74355001
2018/5/20,67.90955984
2018/5/21,68.07572879
2018/5/22,68.23667769
2018/5/23,68.38694028
2018/5/24,68.53050013
2018/5/25,68.81109172
2018/5/26,68.95548145
2018/5/27,69.0981038
2018/5/28,68.80789371
2018/5/29,69.10860594
2018/5/31,69.39575322
2018/6/01,69.66027488
2018/6/02,69.9490533
2018/6/03,70.09968569
2018/6/04,70.24780075
2018/6/05,70.39398367
2018/6/06,70.54310955
2018/6/07,70.69351311
2018/6/08,70.84210521
2018/6/09,71.12432132
2018/6/10,71.12432132
2018/6/11,71.12432132
2018/6/12,71.12432132
2018/6/13,71.12432132
2018/6/14,71.12432132
2018/6/15,71.12432132
2018/6/16,71.12432132
2018/6/17,71.12432132
2018/6/18,71.12432132
2018/6/19,71.12432132
2018/6/20,71.12432132
2018/6/21,71.12432132
2018/6/22,71.12432132
2018/6/23,71.12432132
2018/6/24,71.12432132
2018/6/25,71.12432132
2018/6/26,71.12432132
2018/6/27,71.12432132
2018/6/28,71.12432132
2018/6/29,71.12432132
2018/6/30,71.12432132
2018/7/01,71.12432132
2018/7/02,71.12432132
2018/7/03,71.12432132
2018/7/04,71.12432132
2018/7/05,71.12432132
